2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,
Coppin St.,-15.11056408,Chicago St.,-15.32041512,Ark.-Pine Bluff,-14.94106228,Kennesaw St.,-14.63273708,Southern U.,-15.49283736,Alabama A&M,-14.66943495,Houston Baptist,-16.46889067,Houston Baptist,-15.24008854,Alabama A&M,-14.92837866,UC Davis,-15.32194568
UTSA,-15.11111452,San Jose St.,-15.50893695,Binghamton,-15.10899547,Saint Francis (PA),-14.63840334,Towson,-15.96601155,Colgate,-15.21388736,Stetson,-16.60059294,UNC Greensboro,-15.46032864,Jacksonville St.,-15.0229426,Texas St.,-15.74709818
McNeese St.,-15.27955415,Morgan St.,-15.52052658,Cornell,-15.24440113,Omaha,-14.64533202,Northern Ariz.,-16.00512736,Ga. Southern,-15.3348068,Wagner,-17.21462834,Furman,-15.59823079,Citadel,-15.61256859,Ark.-Pine Bluff,-15.75594631
The Citadel,-15.64995488,Nicholls St.,-15.66455433,Alcorn,-15.51163802,Houston Baptist,-14.93300469,Ark.-Pine Bluff,-16.08764449,Longwood,-15.42592678,Dartmouth,-17.39600801,Howard,-15.68641702,Sacramento St.,-16.32308967,Norfolk St.,-16.09907437
Southeast Mo. St.,-15.77592644,Liberty,-15.82408799,Kennesaw St.,-15.79144602,Prairie View,-15.13858025,UMES,-16.10326063,Tex.-Pan American,-15.99415276,Florida A&M,-17.4724747,Florida A&M,-15.82842836,Ark.-Pine Bluff,-16.32474043,Southern U.,-16.26489697
Central Ark.,-15.89629969,N.C. A&T,-15.83146295,N.C. A&T,-15.96391457,IUPUI,-15.40230302,Prairie View,-16.20195175,South Carolina St.,-16.13170199,Presbyterian,-17.77927017,Sacramento St.,-16.36764124,Loyola Marymount,-16.39958169,Alabama St.,-16.39164936
Chicago St.,-15.98231056,Stetson,-15.88936429,Lamar,-16.17601587,Florida A&M,-15.58826459,Fairleigh Dickinson,-16.30916657,Radford,-16.21051501,Howard,-18.15913118,Fairleigh Dickinson,-16.92293916,Longwood,-16.90710435,Howard,-16.66612256
UTRGV,-16.0000922,Central Conn. St.,-16.13532161,Houston Baptist,-16.2399543,UT Martin,-16.11568306,UT Martin,-16.42042005,Florida A&M,-16.2405265,VMI,-18.19015923,Northwestern St.,-17.14752646,North Florida,-19.23515906,Denver,-16.70752486
Prairie View,-16.52978264,Presbyterian,-16.14718755,Prairie View,-16.27526831,Citadel,-16.49324626,Central Ark.,-16.58142263,Houston Baptist,-17.7977299,Mississippi Val.,-18.42412296,Mississippi Val.,-17.14992084,Texas Southern,-19.41788478,Texas Southern,-18.04647237
N.C. A&T,-16.6668047,Jacksonville,-16.41295269,Howard,-16.28521951,Furman,-16.93900612,Jackson St.,-16.81239922,UMBC,-17.88305518,Gardner-Webb,-18.43410065,Southern U.,-17.28255726,Prairie View,-19.85977251,Grambling,-18.4950316
Southern Utah,-17.02425839,Kennesaw St.,-16.54959242,Bethune-Cookman,-16.37191907,Presbyterian,-16.97176656,Bryant,-17.21948144,Grambling,-17.93507851,N.C. Central,-18.47408374,Southeast Mo. St.,-17.60810787,North Dakota,-20.0993878,NJIT,-19.14756308
Northern Ariz.,-17.25407876,Coppin St.,-16.67582772,Maine,-16.41242013,Alabama St.,-17.40328289,Nicholls St.,-17.86674518,Howard,-18.21382089,SIUE,-18.63459686,SIUE,-17.65920226,Howard,-21.3168844,Bethune-Cookman,-19.66542719
Maine,-17.28985054,Alabama A&M,-16.7104873,UMES,-16.55200629,Fairleigh Dickinson,-17.47058116,Omaha,-18.38649131,Central Ark.,-18.70138067,Alabama A&M,-18.8536133,Kennesaw St.,-17.86627083,Alcorn,-21.36674933,North Florida,-20.10507738
Bryant,-18.32420678,South Carolina St.,-17.06238249,South Carolina St.,-16.75307645,South Carolina St.,-17.59762067,Chicago St.,-18.62796171,UMES,-18.79058945,North Dakota,-18.90682229,North Florida,-17.95698977,Grambling,-22.05385919,Alcorn,-20.9657123
Grambling,-18.33715265,Maine,-17.39618502,Furman,-16.96505213,Alabama A&M,-17.94678025,Alabama A&M,-18.64435995,Prairie View,-19.01818376,NJIT,-19.33138619,Alabama A&M,-18.478926,UMES,-22.174091,Alabama A&M,-21.67403525
Nicholls St.,-18.36107815,Savannah St.,-17.83296932,Citadel,-17.13410776,Binghamton,-18.00145581,Alcorn,-18.89303808,Ark.-Pine Bluff,-19.46176536,Chicago St.,-20.00010047,UMES,-21.35933256,N.C. Central,-24.18509357,UMES,-22.07372011
Ark.-Pine Bluff,-18.74625204,Alcorn,-20.37915476,Southern Utah,-19.4958412,Mississippi Val.,-18.65101333,UMBC,-19.16649496,SIUE,-21.76236752,Grambling,-21.62521807,Grambling,-21.78318527,NJIT,-26.06894306,Prairie View,-22.22786695
Mississippi Val.,-19.48525925,Central Ark.,-22.40920027,Longwood,-19.86163915,Longwood,-18.85136459,Binghamton,-19.45910493,Alcorn,-22.4956886,Southern U.,-23.23749678,N.C. Central,-24.00629649,,,N.C. Central,-30.30360771
Delaware St.,-20.08539015,Mississippi Val.,-23.5423986,Presbyterian,-20.26772765,UMES,-19.08671945,Longwood,-19.80044927,Southern U.,-25.09658669,Bryant,-23.92157832,Alcorn,-24.37726812,,,,
Florida A&M,-20.95659696,Florida A&M,-25.82676287,Mississippi Val.,-20.62682645,Lamar,-19.97111648,South Carolina St.,-20.11731628,Chicago St.,-27.0915733,Alcorn,-28.9934378,NJIT,-24.93084825,,,,
Central Conn. St.,-22.59397466,Grambling,-30.04379997,Grambling,-24.13677259,Grambling,-35.38238516,Grambling,-26.13666835,,,,,,,,,,
