2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,
Hawaii,8.366744496,Creighton,7.529838506,Butler,7.521075193,Washington St.,7.220019597,Davidson,7.938433036,Colorado St.,8.049368436,Marshall,9.322863978,Cleveland St.,8.381003869,Virginia,8.581922664,Nebraska,8.38372907
Ole Miss,8.167893895,Tennessee,7.456947744,Southern Miss.,7.369395432,Detroit,7.192711714,Ohio,7.832806883,Iona,7.589019668,Georgia,9.104696841,Dayton,8.347744035,South Ala.,8.522923253,Auburn,8.013465902
Tennessee,8.05945242,Marquette,7.395591904,Tulsa,7.072742223,Santa Clara,7.18836315,Iowa,7.712317829,North Carolina St.,7.581623169,Arizona,9.062872792,UTEP,8.120504758,Georgia,8.178781063,Kent St.,7.744994037
Richmond,8.006253234,Tulsa,7.188047965,North Dakota St.,6.738043354,Georgia Tech,7.090002852,Oklahoma St.,7.699674961,Oregon,7.533255767,Missouri St.,8.830175797,Iowa,7.919536344,Tulsa,8.119753613,Santa Clara,7.654303927
Boise St.,7.983442662,Central Mich.,7.054941477,Washington,6.689943563,Texas A&M,6.905261701,Marshall,7.678952578,Providence,7.515141045,Providence,8.63423448,Ole Miss,7.412830226,IUPUI,7.96448054,Wake Forest,7.293107945
Temple,7.879996133,Florida St.,6.98515862,St. Bonaventure,6.664655305,Southern California,6.823965148,UNI,7.677092302,Georgia Tech,6.978165809,Colorado,8.382133379,Green Bay,7.384497921,VCU,7.91272084,Seton Hall,7.16109128
Evansville,7.846050667,Boston College,6.674682046,Manhattan,6.491526438,Vanderbilt,6.675796245,Wyoming,7.472370196,Stanford,6.969323074,Nebraska,8.276123185,Niagara,7.296449442,Charlotte,7.743273133,Drexel,7.022713664
UNI,7.783662297,Green Bay,6.670852186,Oregon St.,6.449237319,Boston College,6.594434764,LSU,7.347933549,Arkansas,6.737387252,Houston,8.17137935,Virginia,7.181773702,Akron,7.573424677,Illinois St.,6.978415938
UNLV,7.569105531,Northwestern,6.664099347,Iona,6.443504773,Oregon St.,6.570734662,Colorado St.,7.216243885,Col. of Charleston,6.72741168,Wright St.,7.984571514,UNI,6.975138944,Boston College,7.441579289,Baylor,6.887220071
Yale,7.365867029,Nebraska,6.653838729,Georgia St.,6.419236524,Rutgers,6.469870343,Ole Miss,7.214548682,Marshall,6.680191446,Penn St.,7.939993583,Alabama,6.912918294,George Mason,7.398869029,Houston,6.815388934
St. Bonaventure,7.218773866,Oregon St.,6.626028991,San Francisco,6.260583667,Weber St.,6.439850921,Illinois St.,7.003559354,UCF,6.590903174,Nevada,7.818163847,Georgia Tech,6.874801433,Oral Roberts,7.383561215,Miami (FL),6.761657711
James Madison,7.186415191,Valparaiso,6.330988085,Richmond,6.206699647,Massachusetts,6.345172221,Akron,7.000866159,Virginia,6.554624762,Portland,7.795882633,Duquesne,6.584053846,UCF,7.078101716,George Washington,6.643852104
Oakland,6.934676456,Louisiana Tech,6.318557019,New Mexico St.,6.103439587,Clemson,6.330285144,Washington St.,6.860277865,Tulsa,6.464158326,Northeastern,7.76775013,Texas Tech,6.37605614,Bradley,7.022951393,New Mexico St.,6.496214039
